,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
64,64,"[-4.422053263183096, -4.6533535827338195]","[0.5575686490017566, 0.44243135099824343]","[1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",0.9670035443979452,0.9843419323155108
65,65,"[-3.600237234907808, -3.785077861320649]","[0.5460790363335534, 0.4539209636664465]","[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0.6522398979315069,0.9250543734505148
66,66,"[-1.9604166807994825, -1.9929294707504057]","[0.5081274815494715, 0.4918725184505286]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]",0.8745625610070327,0.5612122043234379
67,67,"[-2.9441569397311915, -3.0327227853391348]","[0.5221269997780672, 0.4778730002219328]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0.9787644454130071,0.7889301115306772
68,68,"[-1.9879524555151928, -2.018530716519952]","[0.5076439696486971, 0.4923560303513028]","[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",1.087438677804127,0.5600993589830021
69,69,"[-3.7165262899857634, -3.881403961573276]","[0.541126293102808, 0.45887370689719187]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]",0.953236188584864,0.9042439004590364
70,70,"[-9.486469356563768, -10.526838744964918]","[0.7389212735368126, 0.26107872646318736]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",1.2211696774592866,1.2503684851598895
71,71,"[-6.620464327103624, -7.095691630236779]","[0.6166202403424538, 0.3833797596575463]","[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",1.3129547327776856,1.1142697463168951
72,72,"[-3.156227533987668, -3.249623825601515]","[0.5233321151233365, 0.4766678848766634]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",1.3886481610265644,0.7993635681032265
73,73,"[-17.765593150994615, -19.914379779418226]","[0.8955553374473529, 0.104444662552647]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.3494072589052988,1.437016206092572
74,74,"[-3.6826444272075247, -3.868921713370185]","[0.5464351272091312, 0.4535648727908688]","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",0.71136359111559,0.9239751783064368
75,75,"[-3.010522731800103, -3.104560099838875]","[0.5234920328380409, 0.47650796716195915]","[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",1.110889753990663,0.7874958755127159
76,76,"[-2.8702496808205096, -2.9582783931925145]","[0.5219929778620795, 0.4780070221379204]","[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",1.009792037211206,0.7706541789169382
77,77,"[-2.411157978943493, -2.4797716279173585]","[0.5171466857937128, 0.4828533142062871]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",0.7665931932696535,0.6910943715988607
78,78,"[-2.8909569602860232, -2.9840881328004514]","[0.5232659792673161, 0.47673402073268395]","[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",1.0054470668519782,0.7729575800530517
79,79,"[-3.4148047984565086, -3.551835997815549]","[0.5342042938473571, 0.465795706152643]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",0.9971367575627548,0.8576926316243818
